municipio,SAFRA,ano,mes,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA
Bandeirantes,15/16,2015,10,Norte,Nitossolo Vermelho eutrófico,420.0,30.067419354838712,19.176451612903225,24.37483870967742,76.33322580645161,2.523870967741936,18.79612903225806,178.09,0.4643333333333333,18160.0,50121.6,46.0
Bandeirantes,15/16,2015,11,Norte,Nitossolo Vermelho eutrófico,420.0,28.490000000000002,20.478666666666665,24.459333333333333,84.57633333333334,2.066666666666667,16.148,339.46999999999997,0.67925,18160.0,50121.6,46.0
Bandeirantes,15/16,2015,12,Norte,Nitossolo Vermelho eutrófico,420.0,28.02806451612903,21.572580645161292,24.682580645161288,87.4183870967742,1.8661290322580646,17.70193548387097,300.55,0.827275,18160.0,50121.6,46.0
Bandeirantes,15/16,2016,1,Norte,Nitossolo Vermelho eutrófico,420.0,28.149032258064516,20.72967741935484,24.335806451612903,86.63096774193548,2.6667741935483873,22.066774193548387,292.03999999999996,0.9055,18160.0,50121.6,46.0
Bandeirantes,15/16,2016,2,Norte,Nitossolo Vermelho eutrófico,420.0,28.32344827586207,22.014482758620687,25.05,86.71689655172413,1.7020689655172414,18.805862068965517,295.54,0.773575,18160.0,50121.6,46.0
Bandeirantes,15/16,2016,3,Norte,Nitossolo Vermelho eutrófico,420.0,28.069032258064517,19.371290322580645,23.580000000000002,84.1058064516129,2.0696774193548384,19.750967741935483,127.15,0.4656,18160.0,50121.6,46.0
Bandeirantes,16/17,2016,9,Norte,Nitossolo Vermelho eutrófico,420.0,26.65266666666667,13.369666666666665,19.52766666666667,72.813,2.521333333333333,20.035,37.66,0.2946,18200.0,63336.0,58.0
Bandeirantes,16/17,2016,10,Norte,Nitossolo Vermelho eutrófico,420.0,29.076129032258066,17.23709677419355,22.903548387096773,73.71548387096773,2.833870967741935,20.70451612903226,137.84,0.49817500000000003,18200.0,63336.0,58.0
Bandeirantes,16/17,2016,11,Norte,Nitossolo Vermelho eutrófico,420.0,31.235666666666667,18.730666666666664,24.707,69.42766666666667,2.5766666666666667,23.111,74.8,0.6187999999999999,18200.0,63336.0,58.0
Bandeirantes,16/17,2016,12,Norte,Nitossolo Vermelho eutrófico,420.0,30.511290322580646,20.305806451612902,25.260645161290324,74.50419354838711,2.1906451612903224,21.286774193548386,160.05,0.816575,18200.0,63336.0,58.0
