municipio,SAFRA,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA
Diamante do Sul,01/02,Sul,Neossolo Litólico eutrófico,620.0,26.35316037735849,16.752924528301886,21.308066037735852,82.67377358490566,0.039905660377358494,21.042735849056605,1096.5,0.7258617924528302,180.0,360.0,33.33
Diamante do Sul,02/03,Sul,Neossolo Litólico eutrófico,620.0,26.425141509433963,17.562783018867925,21.731415094339624,85.1708962264151,0.039481132075471694,19.719669811320752,1392.1299999999999,0.7009276729559748,350.0,1050.0,50.0
Diamante do Sul,03/04,Sul,Neossolo Litólico eutrófico,620.0,27.957840375586855,16.374319248826293,21.84981220657277,73.7849295774648,0.033192488262910796,22.464647887323945,1049.44,0.6414377543035993,500.0,1150.0,38.33
Diamante do Sul,04/05,Sul,Neossolo Litólico eutrófico,620.0,27.720000000000002,17.13009433962264,22.169575471698113,76.99754716981131,0.04471698113207547,21.378490566037733,982.51,0.6752507075471699,800.0,1600.0,33.33
Diamante do Sul,05/06,Sul,Neossolo Litólico eutrófico,620.0,27.26990566037736,17.267452830188677,21.98183962264151,79.3052358490566,0.044056603773584904,20.384339622641512,1118.08,0.7084632075471697,2550.0,7650.0,50.0
Diamante do Sul,06/07,Sul,Neossolo Litólico eutrófico,620.0,28.566273584905662,18.09801886792453,22.975424528301886,75.63448113207548,0.04283018867924528,20.64929245283019,987.0699999999999,0.7197851022012578,800.0,2440.0,50.83
Diamante do Sul,07/08,Sul,Neossolo Litólico eutrófico,620.0,29.29737089201878,17.666760563380283,23.138169014084507,70.28455399061033,0.029859154929577466,21.045680751173705,822.54,0.6844467918622849,980.0,3116.0,52.99
Diamante do Sul,08/09,Sul,Neossolo Litólico eutrófico,620.0,27.693867924528302,17.107499999999998,22.085141509433964,75.3383962264151,0.04084905660377359,21.36943396226415,826.9,0.7011998820754717,1300.0,2390.0,30.64
Diamante do Sul,09/10,Sul,Neossolo Litólico eutrófico,620.0,26.311415094339626,18.421462264150943,22.196650943396225,87.07745283018868,0.036556603773584904,19.34797169811321,1476.31,0.7297183569182389,1910.0,5407.8,47.19
Diamante do Sul,10/11,Sul,Neossolo Litólico eutrófico,620.0,26.661745283018867,17.24382075471698,21.65495283018868,81.04235849056603,0.039198113207547174,19.870849056603774,1235.28,0.6992875000000001,1330.0,4079.5,51.12
Diamante do Sul,11/12,Sul,Neossolo Litólico eutrófico,620.0,29.12098591549296,16.784600938967134,22.62286384976526,68.73488262910799,0.02413145539906103,22.461220657276993,522.85,0.6642798513302034,1100.0,1914.0,29.0
Diamante do Sul,12/13,Sul,Neossolo Litólico eutrófico,620.0,29.351603773584905,18.181415094339624,23.38632075471698,71.5479716981132,0.030613207547169813,20.466745283018867,925.04,0.7145942216981133,1050.0,3255.0,51.67
Diamante do Sul,13/14,Sul,Neossolo Litólico eutrófico,620.0,28.37108490566038,17.50495283018868,22.605188679245284,74.07452830188679,0.02641509433962264,21.122405660377357,746.14,0.6815278301886792,1270.0,3784.6,49.67
Diamante do Sul,14/15,Sul,Neossolo Litólico eutrófico,620.0,28.223160377358493,18.42627358490566,22.960377358490568,77.52816037735849,0.02976415094339623,20.635849056603774,747.19,0.7181783018867925,2000.0,6300.0,52.5
Diamante do Sul,15/16,Sul,Neossolo Litólico eutrófico,620.0,26.831643192488265,18.690516431924884,22.491032863849767,85.41389671361502,0.03394366197183099,18.11868544600939,1342.91,0.7489917840375586,1700.0,4930.0,48.33
Diamante do Sul,16/17,Sul,Neossolo Litólico eutrófico,620.0,26.212452830188678,16.9975,21.42070754716981,82.69250000000001,0.05084905660377358,21.18797169811321,1103.34,0.7337385613207547,1600.0,5760.0,60.0
Diamante do Sul,17/18,Sul,Neossolo Litólico eutrófico,620.0,27.083396226415097,17.729858490566038,22.21235849056604,81.26433962264151,0.044622641509433965,20.03108490566038,1519.22,0.7314634827044025,1700.0,5270.0,51.67
Diamante do Sul,18/19,Sul,Neossolo Litólico eutrófico,620.0,27.44306603773585,18.178443396226413,22.546273584905663,81.63783018867925,0.0494811320754717,20.094245283018864,1221.28,0.7473272012578617,1600.0,4768.0,49.67
Diamante do Sul,19/20,Sul,Neossolo Litólico eutrófico,620.0,29.92737089201878,18.260892018779344,23.719765258215965,70.07107981220658,0.03732394366197183,21.269436619718313,842.01,0.7199190532081378,1900.0,7068.0,62.0
Diamante do Sul,20/21,Sul,Neossolo Litólico eutrófico,620.0,29.034433962264153,18.011933962264152,23.162594339622643,73.66259433962264,0.06311320754716981,20.89297169811321,894.28,0.7072728773584905,2000.0,6200.0,51.67
Diamante do Sul,21/22,Sul,Neossolo Litólico eutrófico,620.0,30.002169811320755,18.227641509433962,23.804198113207548,69.29787735849057,0.04117924528301887,21.66740566037736,909.57,0.7181916273584906,2600.0,3536.0,22.67
Diamante do Sul,22/23,Sul,Neossolo Litólico eutrófico,620.0,25.84424528301887,16.699009433962264,21.07547169811321,82.6127358490566,0.047924528301886794,20.297924528301888,1326.26,0.7511625786163522,2705.0,11048.5,68.07
Diamante do Sul,23/24,Sul,Neossolo Litólico eutrófico,620.0,29.017276995305167,19.138544600938967,23.77413145539906,78.43272300469485,0.0284037558685446,19.689718309859153,1240.4,0.7655339593114242,3005.0,9308.05,51.63
Diamante do Sul,99/00,Sul,Neossolo Litólico eutrófico,620.0,27.250166666666665,18.228166666666667,22.490166666666667,82.99066666666666,0.06283333333333334,20.492833333333333,344.98,0.8414499999999999,96.0,297.6,51.67
